cluster_key,phrase_count,unique_phrase_count,commercial_signal,local_signal,breadth_signal,opportunity_relevance_score,top_modifiers,example_phrases
zš,246,246,0.0040650406504065045,0.07317073170731707,1.0,0.31666666666666665,"zš,6,4,9,1",zš jižní | zš dukelská | 2 zš kolín
řidičák,38,38,0.21052631578947367,0.0,0.15447154471544716,0.15160462130937097,"řidičák,n,na,online,f",t řidičák cena | řidičák a | řidičák na motorku
účet,91,91,0.0,0.0,0.3699186991869919,0.11097560975609756,"účet,google,microsoft,centrum,383",381 účet | 069 účet | 471 účet
čd,71,71,0.028169014084507043,0.04225352112676056,0.2886178861788618,0.10912057712126418,"travel,telematika,lounge,nostalgie,čd",čd lyže | čd | čd 162
kč,58,58,0.06896551724137931,0.0,0.23577235772357724,0.10521446593776282,"kč,na,to,000,0.00",kč to eur | kč na eura | 4 kč na eura
mš,57,57,0.0,0.14035087719298245,0.23170731707317074,0.09758237056054772,"mš,hokej,čtyřlístek,úšovice,qočna",mš sluníčko | mš rousínov | 1 mš jindřichův hradec
psč,45,45,0.0,0.2,0.18292682926829268,0.0948780487804878,"psč,praha,jihlava,pezinok,most",75301 psč | 38101 psč | 39143 psč
ac,59,59,0.01694915254237288,0.06779661016949153,0.23983739837398374,0.09398511781727986,"vyškov,sparta,řím,pumpa,valhalla",ac ďc | ac vysoké mýto | ac šibenik
sb,71,71,0.0,0.0,0.2886178861788618,0.08658536585365854,"90,89,48,40,65",č 85 1996 sb | č 13 1997 sb o pozemních komunikacích | č 62 2013 sb
ad,64,64,0.015625,0.0,0.2601626016260163,0.08586128048780488,"hoc,šafář,žak,šiman,řezníček",ad žižkov | ad účet | ad boček
týden,63,63,0.0,0.0,0.25609756097560976,0.07682926829268293,"týden,mozku,v",9 týden v roce 2026 | 9 týden 2026 | týden v roce
ženy,20,20,0.1,0.0,0.08130081300813008,0.07439024390243902,"ženy,v,a,sobě",ženy v běhu | 3 ženy divadlo járy cimrmana | 3 ženy recenze
nn,20,20,0.1,0.0,0.08130081300813008,0.07439024390243902,"životní,pojišťovna,penzijní,nn,přihlášení",nn životní pojišťovna | nn penzijní připojištění | nn životní
andělská,59,59,0.0,0.0,0.23983739837398374,0.07195121951219512,"andělská,čísla,22,hora",333 andělská čísla | 0404 andělská čísla | 2332 andělská čísla
ah,42,42,0.023809523809523808,0.023809523809523808,0.17073170731707318,0.06788617886178862,"što,čepin,škultétyho,ýarym,žene",ah što volim note | ah kateřinice | ah čepin vojnik
ag,46,46,0.021739130434782608,0.0,0.18699186991869918,0.06696712619300105,"štěpánská,šperky,kroměříž,matoš,info",ag žlábek | ag stříbro | ag skořenice
čt,54,54,0.0,0.0,0.21951219512195122,0.06585365853658537,"sport,živě,čt,art,živé",čt sport plus program | čt w | čt sport živé vysílání
jiří,52,52,0.0,0.0,0.21138211382113822,0.06341463414634146,"straka,mádl,jiří,míža,žáček",jiří bartoška | p jiří koníček | jiří wažik
počasí,30,30,0.0,0.13333333333333333,0.12195121951219512,0.0632520325203252,"new,praha,san,radar,pchery",počasí pchery | počasí radar | počasí new york city
základní,29,29,0.0,0.13793103448275862,0.11788617886178862,0.06295206055508831,základní,8 základní škola frýdek místek | 4 základní škola most | 3 základní škola mladá boleslav
vs,24,24,0.0,0.16666666666666666,0.0975609756097561,0.06260162601626015,"vs,čr,w,u21,ý",vs čr ostrava | ý u19 vs | ć vs čr
martin,51,51,0.0,0.0,0.2073170731707317,0.062195121951219505,"ňachaj,šůna,řondík,shýbal,šaár",martin žaťko | martin žák | martin žec
mudr,51,51,0.0,0.0,0.2073170731707317,0.062195121951219505,"ďžugan,šédová,turečková,ťurekova,púžová",mudr šůchová | mudr šnýdr | mudr záčok
jan,50,50,0.0,0.0,0.2032520325203252,0.06097560975609756,"řmot,šáňa,olžbut,pěgřímek,pňakovič",jan ďuk | jan šépka | jan pňáček
čz,50,50,0.0,0.0,0.2032520325203252,0.06097560975609756,"250,83,175,125,500",čz 250 455 | čz 83 jane | čz 502
aa,31,31,0.03225806451612903,0.03225806451612903,0.12601626016260162,0.06038552321007081,"aa,škola,české,uherské,pirmas",za aa ž a | aa šiauliuose | aa žilina
škoda,37,37,0.02702702702702703,0.0,0.15040650406504066,0.058635464733025715,"škoda,x,q,auto,rapid",škoda fabia | škoda q | škoda superb
ab,44,44,0.0,0.022727272727272728,0.17886178861788618,0.0582039911308204,"šimić,žemaitijos,oil,žuk,šiaulių",ab žuk | ab šimić | ab šimić pjesme
předvolba,46,46,0.0,0.0,0.18699186991869918,0.05609756097560975,předvolba,948 předvolba | 4915 předvolba | 493 předvolba
česká,42,42,0.0,0.023809523809523808,0.17073170731707318,0.055981416957026714,"česká,televize,spořitelna,republika,pošta",3 česká fotbalová liga tabulka | 1 česká hokejová liga tabulka | h2tea česká lípa
slova,45,45,0.0,0.0,0.18292682926829268,0.054878048780487805,"s,slova,na,z,n",slova s ý scrabble | slova na ť pro děti | slova s ď
tv,30,30,0.03333333333333333,0.0,0.12195121951219512,0.053252032520325204,"tv,šlágr,živě,šalingrad,šport",tv živě prima | tv šlágr živě | tv živě zdarma
ďábel,29,29,0.034482758620689655,0.0,0.11788617886178862,0.05260723296888141,"a,nosí,v,z,i",ďábel nosí pradu 2 premiéra | ďábel v ohiu | ďábel a syn rohony
petr,43,43,0.0,0.0,0.17479674796747968,0.0524390243902439,"bůna,šívara,ťopek,řačák,řibal",petr vrňata | petr ťopek | petr řačák
in,42,42,0.0,0.0,0.17073170731707318,0.051219512195121955,"in,počasí,240.00,šá",kěyǐ in chinese | in počasí | ď in czech
