type,token_or_ngram,frequency,phrase_count,as_head_count,as_modifier_count
token,křížovka,709,709,2,707
token,význam,520,520,24,496
token,praha,334,333,9,325
token,nghĩa,309,309,0,309
token,počasí,264,264,30,234
token,zš,261,261,246,15
token,čr,260,260,30,230
token,recept,259,259,2,257
token,anglicky,253,253,1,252
token,brno,240,240,7,233
token,plzeň,232,232,13,219
token,s.r.o,226,226,0,226
token,mapa,181,181,5,176
token,recenze,177,177,3,174
token,gì,166,165,0,166
token,nad,163,163,2,161
token,text,158,158,2,156
token,přihlášení,154,154,15,139
token,sro,154,154,10,144
token,účinky,149,149,14,135
token,české,148,148,12,136
token,zkratka,146,146,35,111
token,online,144,144,15,129
token,cena,144,144,8,136
token,film,139,139,5,134
token,děti,135,135,3,132
token,là,130,128,0,130
token,těhotenství,129,129,36,93
token,in,127,127,42,85
token,filmy,125,125,1,124
token,budějovice,121,121,4,117
token,překlad,114,114,4,110
token,slova,113,113,45,68
token,účet,111,111,91,20
token,pořady,107,107,1,106
token,synonymum,105,105,3,102
token,česká,104,104,42,62
token,čísla,102,102,11,91
token,psč,102,102,45,57
token,ostrava,101,101,2,99
token,mudr,100,100,51,49
token,sb,99,99,71,28
token,program,96,96,17,79
token,škola,94,94,17,77
token,akordy,93,93,2,91
token,práce,91,91,3,88
token,liga,89,89,11,78
token,pod,88,88,2,86
token,meaning,88,88,30,58
token,počet,86,86,1,85
token,kalkulačka,86,86,9,77
token,kniha,86,86,3,83
token,čd,85,85,71,14
token,jičín,85,85,12,73
token,fotky,84,84,2,82
token,příznaky,84,84,4,80
token,nový,83,83,17,66
token,restaurace,82,82,5,77
token,mš,81,81,57,24
token,vs,80,80,24,56
token,škoda,78,78,37,41
token,akce,77,77,1,76
token,číslo,77,77,17,60
token,mě,76,75,21,54
token,ženy,75,69,20,50
token,sa,75,74,5,70
token,pdf,75,75,5,70
token,jan,74,74,50,24
token,týden,74,74,63,11
token,ad,74,74,64,10
token,šaty,72,72,12,60
token,čaj,72,72,12,60
token,olomouc,71,71,2,69
token,martin,71,71,51,20
token,ac,71,71,59,12
token,prostějov,70,70,4,66
token,vyznam,69,69,1,68
token,sport,68,68,18,50
token,jiří,68,68,52,16
token,prodej,68,68,3,65
token,barada,67,67,4,63
token,místa,65,65,0,65
token,živě,65,65,20,45
token,přerov,65,65,5,60
token,čt,64,64,54,10
token,šumperk,64,64,7,57
token,slevový,64,64,14,50
token,značka,64,64,34,30
token,áž,63,16,12,12
token,věk,63,63,12,51
token,most,63,63,6,57
token,město,62,62,4,58
token,kalendář,62,62,12,50
token,kč,62,61,58,3
token,bratislava,60,60,3,57
token,pes,60,60,3,57
token,dnes,60,60,3,57
token,omáčka,60,60,4,56
token,tv,59,59,30,29
token,andělská,59,59,59,0
token,pojištění,59,59,7,52
token,rozměry,59,59,42,17
token,pronunciation,59,59,28,31
token,žilina,59,59,10,49
token,česky,59,59,4,55
token,čas,58,58,11,47
token,doo,58,58,3,55
token,hokej,57,57,3,54
token,de,57,56,9,48
token,cvičení,56,56,18,38
token,obyvatel,56,56,1,55
token,dům,56,56,15,41
token,pojišťovna,56,56,17,39
token,ičo,56,56,19,37
token,země,56,56,6,50
token,dveře,55,55,14,41
token,košice,55,55,1,54
token,ag,55,55,46,9
token,petr,55,55,43,12
token,av,54,54,12,42
token,auto,53,53,4,49
token,pardubice,53,53,0,53
token,cz,53,53,2,51
token,kočky,53,53,1,52
token,hradec,53,53,0,53
token,třída,52,52,22,30
token,eur,51,51,9,42
token,čz,50,50,50,0
token,lázně,50,50,14,36
token,dvůr,50,50,15,35
token,cm,50,50,0,50
token,psa,49,49,0,49
token,divadlo,49,49,0,49
token,ab,49,49,44,5
token,úřad,48,48,18,30
token,menu,48,48,0,48
token,maglumat,48,48,0,48
token,český,48,48,13,35
token,zákon,48,48,17,31
token,volná,47,47,0,47
token,kladno,47,47,6,41
token,kontakt,47,47,0,47
token,třebíč,47,47,7,40
token,english,47,47,3,44
